FID,ID,POINT_X,POINT_Y,AREA_SQM,POD
0,34658.0,119.073944092,10.981949332100001,78449,0
1,34659.0,119.073944092,10.9844493893,78480,0
2,34660.0,119.073944092,10.9869494465,78451,0
3,34661.0,119.073944092,10.9894495037,78481,0
4,34662.0,119.073944092,10.991949560899998,78452,0
5,34663.0,119.073944092,10.994449618199999,78483,0
6,34664.0,119.073944092,10.9969496754,78453,0
7,34665.0,119.073944092,10.9994497326,78484,0
8,34666.0,119.073944092,11.0019497898,78455,0
9,34667.0,119.073944092,11.0044493702,78455,0
10,34668.0,119.073944092,11.0069494274,78486,0
11,34669.0,119.073944092,11.009449484700001,78457,0
12,34670.0,119.073944092,11.0119495419,78487,0
13,34671.0,119.073944092,11.0144495991,78458,0
14,34672.0,119.073944092,11.016949656300001,78489,0
15,34673.0,119.073944092,11.019449713499998,78459,0
16,34674.0,119.073944092,11.0219492939,78460,0
17,34675.0,119.073944092,11.0244493511,78491,0
18,34676.0,119.073944092,11.026949408399998,78461,0
19,34677.0,119.073944092,11.029449465599999,78492,0
20,34678.0,119.073944092,11.0319495228,78463,0
21,34679.0,119.073944092,11.03444958,78493,0
22,34680.0,119.073944092,11.036949637200001,78464,0
23,34681.0,119.073944092,11.0394492176,78465,0
24,34682.0,119.073944092,11.0419492749,78495,0
25,34683.0,119.073944092,11.044449332100001,78466,0
26,34684.0,119.073944092,11.0469493893,78497,0
27,34685.0,119.073944092,11.0494494465,78467,0
28,34686.0,119.073944092,11.0519495037,78498,0
29,34687.0,119.073944092,11.054449560999998,78469,0
30,34688.0,119.073944092,11.056949618199999,78499,0
31,34689.0,119.073944092,11.0594496754,78470,0
32,34690.0,119.073944092,11.0619492558,78471,0
33,34691.0,119.073944092,11.064449312999999,78501,0
34,34692.0,119.073944092,11.0669493702,78472,0
35,34693.0,119.073944092,11.0694494274,78503,0
36,34694.0,119.073944092,11.071949484700001,78474,0
37,34695.0,119.073944092,11.0744495419,78504,0
38,34696.0,119.073944092,11.0769495991,78475,0
39,34697.0,119.073944092,11.079449656300001,78506,0
40,34698.0,119.073944092,11.081949713599998,78476,0
41,34699.0,119.073944092,11.0844492939,78477,0
42,34700.0,119.073944092,11.0869493512,78508,0
43,34701.0,119.073944092,11.089449408399998,78478,0
44,34702.0,119.073944092,11.091949465599999,78509,0
45,34703.0,119.073944092,11.0944495228,78480,0
46,34704.0,119.073944092,11.09694958,78510,0
47,34705.0,119.073944092,11.0994496373,78481,0
48,34706.0,119.073944092,11.1019492176,78482,0
49,34707.0,119.073944092,11.1044492749,78512,0
50,34708.0,119.073944092,11.106949332100001,78483,0
51,34709.0,119.073944092,11.1094493893,78514,0
52,34710.0,119.073944092,11.1119494465,78484,0
53,34711.0,119.073944092,11.114449503800001,78515,0
54,34712.0,119.073944092,11.116949560999998,78486,0
55,34713.0,119.073944092,11.1194491414,78486,0
56,34714.0,119.073944092,11.1219491986,78517,0
57,34715.0,119.073944092,11.1244492558,78488,0
58,34716.0,119.073944092,11.126949312999999,78518,0
59,34717.0,119.073944092,11.1294493702,78489,0
60,34718.0,119.073944092,11.1319494275,78520,0
61,34719.0,119.073944092,11.134449484700001,78491,0
62,34720.0,119.073944092,11.1369495419,78521,0
63,34721.0,119.073944092,11.1394495991,78492,0
64,34722.0,119.073944092,11.141949179500001,78493,0
65,34723.0,119.073944092,11.144449236700002,78523,0
66,34724.0,119.073944092,11.1469492939,78494,0
67,34725.0,119.073944092,11.1494493512,78525,0
68,34726.0,119.073944092,11.151949408399998,78495,0
69,34727.0,119.073944092,11.154449465599999,78526,0
70,34728.0,119.073944092,11.1569495228,78497,0
71,34729.0,119.073944092,11.1594495801,78527,0
72,34730.0,119.073944092,11.1619496373,78498,0
73,34731.0,119.073944092,11.1644492177,78499,0
74,34732.0,119.073944092,11.1669492749,78529,0
75,34733.0,119.073944092,11.169449332100001,78500,0
76,34734.0,119.073944092,11.1719493893,78531,0
77,34735.0,119.073944092,11.1744494465,78502,0
78,34736.0,119.073944092,11.176949503800001,78532,0
79,34737.0,119.073944092,11.179449560999998,78503,0
80,34738.0,119.073944092,11.1819491414,78504,0
81,34739.0,119.073944092,11.1844491986,78534,0
82,34740.0,119.073944092,11.1869492558,78505,0
83,34741.0,119.073944092,11.189449312999999,78536,0
84,34742.0,119.073944092,11.1919493703,78506,0
85,34743.0,119.073944092,11.1944494275,78537,0
86,34744.0,119.073944092,11.196949484700001,78508,0
87,34745.0,119.073944092,11.1994490651,78508,0
88,34746.0,119.073944092,11.2019491223,78539,0
89,34747.0,119.073944092,11.204449179500001,78510,0
90,34748.0,119.073944092,11.206950190399999,78600,0
91,34749.0,119.073944092,11.2094512013,78511,0
92,34750.0,119.073944092,11.2119512585,78542,0
93,34751.0,119.073944092,11.2144513158,78513,0
94,34752.0,119.073944092,11.216950896099998,78513,0
95,34753.0,119.073944092,11.219450953399999,78544,0
96,34754.0,119.073944092,11.2219510106,78515,0
97,34755.0,119.073944092,11.2244510678,78545,0
98,34756.0,119.073944092,11.226951125,78516,0
99,34757.0,119.073944092,11.2294511822,78547,0
100,34758.0,119.073944092,11.2319512395,78517,0
101,34759.0,119.073944092,11.2344508199,78518,0
102,34760.0,119.073944092,11.2369508771,78549,0
103,34761.0,119.073944092,11.2394509343,78519,0
104,34762.0,119.073944092,11.241950991500001,78550,0
105,34763.0,119.073944092,11.244451048699998,78521,0
106,34764.0,119.073944092,11.246951106,78551,0
107,34765.0,119.073944092,11.2494511632,78522,0
108,34766.0,119.073944092,11.251950743599998,78523,0
109,34767.0,119.073944092,11.254450800799999,78553,0
110,34768.0,119.073944092,11.256950858,78524,0
111,34769.0,119.073944092,11.2594509152,78555,0
112,34770.0,119.073944092,11.2619509724,78526,0
