FID,ID,POINT_X,POINT_Y,AREA_SQM,LAND,MANGROVE,FRINGING_R,OUTER_REEF,SEAGRASS,WATER,REEF_AREA,LAND_AREA
0,34658,119.0739441,10.98194933,78449,0,0,0,0,0,78449,0,0
1,34659,119.0739441,10.98444939,78480,0,0,0,0,0,78480,0,0
2,34660,119.0739441,10.98694945,78451,0,0,0,0,0,78451,0,0
3,34661,119.0739441,10.9894495,78481,0,0,0,0,0,78481,0,0
4,34662,119.0739441,10.99194956,78452,0,0,0,0,0,78452,0,0
5,34663,119.0739441,10.99444962,78483,0,0,0,0,0,78483,0,0
6,34664,119.0739441,10.99694968,78453,0,0,0,0,0,78453,0,0
7,34665,119.0739441,10.99944973,78484,0,0,0,0,0,78484,0,0
8,34666,119.0739441,11.00194979,78455,0,0,0,0,0,78455,0,0
9,34667,119.0739441,11.00444937,78455,0,0,0,0,0,78455,0,0
10,34668,119.0739441,11.00694943,78486,0,0,0,0,0,78486,0,0
11,34669,119.0739441,11.00944948,78457,0,0,0,0,0,78457,0,0
12,34670,119.0739441,11.01194954,78487,0,0,0,0,0,78487,0,0
13,34671,119.0739441,11.0144496,78458,0,0,0,0,0,78458,0,0
14,34672,119.0739441,11.01694966,78489,0,0,0,0,0,78489,0,0
15,34673,119.0739441,11.01944971,78459,0,0,0,0,0,78459,0,0
16,34674,119.0739441,11.02194929,78460,0,0,0,0,0,78460,0,0
17,34675,119.0739441,11.02444935,78491,0,0,0,0,0,78491,0,0
18,34676,119.0739441,11.02694941,78461,0,0,0,0,0,78461,0,0
19,34677,119.0739441,11.02944947,78492,0,0,0,0,0,78492,0,0
20,34678,119.0739441,11.03194952,78463,0,0,0,0,0,78463,0,0
21,34679,119.0739441,11.03444958,78493,0,0,0,0,0,78493,0,0
22,34680,119.0739441,11.03694964,78464,0,0,0,0,0,78464,0,0
23,34681,119.0739441,11.03944922,78465,0,0,0,0,0,78465,0,0
24,34682,119.0739441,11.04194927,78495,0,0,0,0,0,78495,0,0
25,34683,119.0739441,11.04444933,78466,0,0,0,0,0,78466,0,0
26,34684,119.0739441,11.04694939,78497,0,0,0,0,0,78497,0,0
27,34685,119.0739441,11.04944945,78467,0,0,0,0,0,78467,0,0
28,34686,119.0739441,11.0519495,78498,0,0,0,0,0,78498,0,0
29,34687,119.0739441,11.05444956,78469,0,0,0,0,0,78469,0,0
30,34688,119.0739441,11.05694962,78499,0,0,0,0,0,78499,0,0
31,34689,119.0739441,11.05944968,78470,0,0,0,0,0,78470,0,0
32,34690,119.0739441,11.06194926,78471,0,0,0,0,0,78471,0,0
33,34691,119.0739441,11.06444931,78501,0,0,0,0,0,78501,0,0
34,34692,119.0739441,11.06694937,78472,0,0,0,0,0,78472,0,0
35,34693,119.0739441,11.06944943,78503,0,0,0,0,0,78503,0,0
36,34694,119.0739441,11.07194948,78474,0,0,0,0,0,78474,0,0
37,34695,119.0739441,11.07444954,78504,0,0,0,0,0,78504,0,0
38,34696,119.0739441,11.0769496,78475,0,0,0,0,0,78475,0,0
39,34697,119.0739441,11.07944966,78506,0,0,0,0,0,78506,0,0
40,34698,119.0739441,11.08194971,78476,0,0,0,0,0,78476,0,0
41,34699,119.0739441,11.08444929,78477,0,0,0,0,0,78477,0,0
42,34700,119.0739441,11.08694935,78508,0,0,0,0,0,78508,0,0
43,34701,119.0739441,11.08944941,78478,0,0,0,0,0,78478,0,0
44,34702,119.0739441,11.09194947,78509,0,0,0,0,0,78509,0,0
45,34703,119.0739441,11.09444952,78480,0,0,0,0,0,78480,0,0
46,34704,119.0739441,11.09694958,78510,0,0,0,0,0,78510,0,0
47,34705,119.0739441,11.09944964,78481,0,0,0,0,0,78481,0,0
48,34706,119.0739441,11.10194922,78482,0,0,0,0,0,78482,0,0
49,34707,119.0739441,11.10444927,78512,0,0,0,0,0,78512,0,0
50,34708,119.0739441,11.10694933,78483,0,0,0,0,0,78483,0,0
51,34709,119.0739441,11.10944939,78514,0,0,0,0,0,78514,0,0
52,34710,119.0739441,11.11194945,78484,0,0,0,0,0,78484,0,0
53,34711,119.0739441,11.1144495,78515,0,0,0,0,0,78515,0,0
54,34712,119.0739441,11.11694956,78486,0,0,0,0,0,78486,0,0
55,34713,119.0739441,11.11944914,78486,0,0,0,0,0,78486,0,0
56,34714,119.0739441,11.1219492,78517,0,0,0,0,0,78517,0,0
57,34715,119.0739441,11.12444926,78488,0,0,0,0,0,78488,0,0
58,34716,119.0739441,11.12694931,78518,0,0,0,0,0,78518,0,0
59,34717,119.0739441,11.12944937,78489,0,0,0,0,0,78489,0,0
60,34718,119.0739441,11.13194943,78520,0,0,0,0,0,78520,0,0
61,34719,119.0739441,11.13444948,78491,0,0,0,0,0,78491,0,0
62,34720,119.0739441,11.13694954,78521,0,0,0,0,0,78521,0,0
63,34721,119.0739441,11.1394496,78492,0,0,0,0,0,78492,0,0
64,34722,119.0739441,11.14194918,78493,0,0,0,0,0,78493,0,0
65,34723,119.0739441,11.14444924,78523,0,0,0,0,0,78523,0,0
66,34724,119.0739441,11.14694929,78494,0,0,0,0,0,78494,0,0
67,34725,119.0739441,11.14944935,78525,0,0,0,0,0,78525,0,0
68,34726,119.0739441,11.15194941,78495,0,0,0,0,0,78495,0,0
69,34727,119.0739441,11.15444947,78526,0,0,0,0,0,78526,0,0
70,34728,119.0739441,11.15694952,78497,0,0,0,0,0,78497,0,0
71,34729,119.0739441,11.15944958,78527,0,0,0,0,0,78527,0,0
72,34730,119.0739441,11.16194964,78498,0,0,0,0,0,78498,0,0
73,34731,119.0739441,11.16444922,78499,0,0,0,0,0,78499,0,0
74,34732,119.0739441,11.16694927,78529,0,0,0,0,0,78529,0,0
75,34733,119.0739441,11.16944933,78500,0,0,0,0,0,78500,0,0
76,34734,119.0739441,11.17194939,78531,0,0,0,0,0,78531,0,0
77,34735,119.0739441,11.17444945,78502,0,0,0,0,0,78502,0,0
78,34736,119.0739441,11.1769495,78532,0,0,0,0,0,78532,0,0
79,34737,119.0739441,11.17944956,78503,0,0,0,0,0,78503,0,0
80,34738,119.0739441,11.18194914,78504,0,0,0,0,0,78504,0,0
81,34739,119.0739441,11.1844492,78534,0,0,0,0,0,78534,0,0
82,34740,119.0739441,11.18694926,78505,0,0,0,0,0,78505,0,0
83,34741,119.0739441,11.18944931,78536,0,0,0,0,0,78536,0,0
84,34742,119.0739441,11.19194937,78506,0,0,0,0,0,78506,0,0
85,34743,119.0739441,11.19444943,78537,0,0,0,0,0,78537,0,0
86,34744,119.0739441,11.19694948,78508,0,0,0,0,0,78508,0,0
87,34745,119.0739441,11.19944907,78508,0,0,0,0,0,78508,0,0
88,34746,119.0739441,11.20194912,78539,0,0,0,0,0,78539,0,0
89,34747,119.0739441,11.20444918,78510,0,0,0,0,0,78510,0,0
90,34748,119.0739441,11.20695019,78600,0,0,0,0,0,78600,0,0
91,34749,119.0739441,11.2094512,78511,0,0,0,0,0,78511,0,0
92,34750,119.0739441,11.21195126,78542,0,0,0,0,0,78542,0,0
93,34751,119.0739441,11.21445132,78513,0,0,0,0,0,78513,0,0
94,34752,119.0739441,11.2169509,78513,0,0,0,0,0,78513,0,0
95,34753,119.0739441,11.21945095,78544,0,0,0,0,0,78544,0,0
96,34754,119.0739441,11.22195101,78515,0,0,0,0,0,78515,0,0
97,34755,119.0739441,11.22445107,78545,0,0,0,0,0,78545,0,0
98,34756,119.0739441,11.22695113,78516,0,0,0,0,0,78516,0,0
99,34757,119.0739441,11.22945118,78547,0,0,0,0,0,78547,0,0
100,34758,119.0739441,11.23195124,78517,0,0,0,0,0,78517,0,0
101,34759,119.0739441,11.23445082,78518,0,0,0,0,0,78518,0,0
102,34760,119.0739441,11.23695088,78549,0,0,0,0,0,78549,0,0
103,34761,119.0739441,11.23945093,78519,0,0,0,0,0,78519,0,0
104,34762,119.0739441,11.24195099,78550,0,0,0,0,0,78550,0,0
105,34763,119.0739441,11.24445105,78521,0,0,0,0,0,78521,0,0
106,34764,119.0739441,11.24695111,78551,0,0,0,0,0,78551,0,0
107,34765,119.0739441,11.24945116,78522,0,0,0,0,0,78522,0,0
108,34766,119.0739441,11.25195074,78523,0,0,0,0,0,78523,0,0
109,34767,119.0739441,11.2544508,78553,0,0,0,0,0,78553,0,0
