ID,POINT_X,POINT_Y,AREA_SQM,NETLOCK1,NETLOCK100
34658,119.07394,10.98195,78449,0,0
34659,119.07394,10.98445,78480,0,0
34660,119.07394,10.98695,78451,0,0
34661,119.07394,10.98945,78481,0,0
34662,119.07394,10.99195,78452,0,0
34663,119.07394,10.99445,78483,0,0
34664,119.07394,10.99695,78453,0,0
34665,119.07394,10.99945,78484,0,0
34666,119.07394,11.00195,78455,0,0
34667,119.07394,11.00445,78455,0,0
34668,119.07394,11.00695,78486,0,0
34669,119.07394,11.00945,78457,0,0
34670,119.07394,11.01195,78487,0,0
34671,119.07394,11.01445,78458,0,0
34672,119.07394,11.01695,78489,0,0
34673,119.07394,11.01945,78459,0,0
34674,119.07394,11.02195,78460,0,0
34675,119.07394,11.02445,78491,0,0
34676,119.07394,11.02695,78461,0,0
34677,119.07394,11.02945,78492,0,0
34678,119.07394,11.03195,78463,0,0
34679,119.07394,11.03445,78493,0,0
34680,119.07394,11.03695,78464,0,0
34681,119.07394,11.03945,78465,0,0
34682,119.07394,11.04195,78495,0,0
34683,119.07394,11.04445,78466,0,0
34684,119.07394,11.04695,78497,0,0
34685,119.07394,11.04945,78467,0,0
34686,119.07394,11.05195,78498,0,0
34687,119.07394,11.05445,78469,0,0
34688,119.07394,11.05695,78499,0,0
34689,119.07394,11.05945,78470,0,0
34690,119.07394,11.06195,78471,0,0
34691,119.07394,11.06445,78501,0,0
34692,119.07394,11.06695,78472,0,0
34693,119.07394,11.06945,78503,0,0
34694,119.07394,11.07195,78474,0,0
34695,119.07394,11.07445,78504,0,0
34696,119.07394,11.07695,78475,0,0
34697,119.07394,11.07945,78506,0,0
34698,119.07394,11.08195,78476,0,0
34699,119.07394,11.08445,78477,0,0
34700,119.07394,11.08695,78508,0,0
34701,119.07394,11.08945,78478,0,0
34702,119.07394,11.09195,78509,0,0
34703,119.07394,11.09445,78480,0,0
34704,119.07394,11.09695,78510,0,0
34705,119.07394,11.09945,78481,0,0
34706,119.07394,11.10195,78482,0,0
34707,119.07394,11.10445,78512,0,0
34708,119.07394,11.10695,78483,0,0
34709,119.07394,11.10945,78514,0,0
34710,119.07394,11.11195,78484,0,0
34711,119.07394,11.11445,78515,0,0
34712,119.07394,11.11695,78486,0,0
34713,119.07394,11.11945,78486,0,0
34714,119.07394,11.12195,78517,0,0
34715,119.07394,11.12445,78488,0,0
34716,119.07394,11.12695,78518,0,0
34717,119.07394,11.12945,78489,0,0
34718,119.07394,11.13195,78520,0,0
34719,119.07394,11.13445,78491,0,0
34720,119.07394,11.13695,78521,0,0
34721,119.07394,11.13945,78492,0,0
34722,119.07394,11.14195,78493,0,0
34723,119.07394,11.14445,78523,0,0
34724,119.07394,11.14695,78494,0,0
34725,119.07394,11.14945,78525,0,0
34726,119.07394,11.15195,78495,0,0
34727,119.07394,11.15445,78526,0,0
34728,119.07394,11.15695,78497,0,0
34729,119.07394,11.15945,78527,0,0
34730,119.07394,11.16195,78498,0,0
34731,119.07394,11.16445,78499,0,0
34732,119.07394,11.16695,78529,0,0
34733,119.07394,11.16945,78500,0,0
34734,119.07394,11.17195,78531,0,0
34735,119.07394,11.17445,78502,0,0
34736,119.07394,11.17695,78532,0,0
34737,119.07394,11.17945,78503,0,0
34738,119.07394,11.18195,78504,0,0
34739,119.07394,11.18445,78534,0,0
34740,119.07394,11.18695,78505,0,0
34741,119.07394,11.18945,78536,0,0
34742,119.07394,11.19195,78506,0,0
34743,119.07394,11.19445,78537,0,0
34744,119.07394,11.19695,78508,0,0
34745,119.07394,11.19945,78508,0,0
34746,119.07394,11.20195,78539,0,0
34747,119.07394,11.20445,78510,0,0
34748,119.07394,11.20695,78600,0,0
34749,119.07394,11.20945,78511,0,0
34750,119.07394,11.21195,78542,0,0
34751,119.07394,11.21445,78513,0,0
34752,119.07394,11.21695,78513,0,0
34753,119.07394,11.21945,78544,0,0
34754,119.07394,11.22195,78515,0,0
34755,119.07394,11.22445,78545,0,0
34756,119.07394,11.22695,78516,0,0
34757,119.07394,11.22945,78547,0,0
34758,119.07394,11.23195,78517,0,0
34759,119.07394,11.23445,78518,0,0
34760,119.07394,11.23695,78549,0,0
34761,119.07394,11.23945,78519,0,0
34762,119.07394,11.24195,78550,0,0
34763,119.07394,11.24445,78521,0,0
34764,119.07394,11.24695,78551,0,0
34765,119.07394,11.24945,78522,0,0
34766,119.07394,11.25195,78523,0,0
34767,119.07394,11.25445,78553,0,0
34768,119.07394,11.25695,78524,0,0
34769,119.07394,11.25945,78555,0,0
34770,119.07394,11.26195,78526,0,0
34771,119.07394,11.26445,78556,0,0
34772,119.07394,11.26695,78527,0,0
34773,119.07394,11.26945,78558,0,0
34774,119.07394,11.27195,78528,0,0
34775,119.07394,11.27445,78529,0,0
34776,119.07394,11.27695,78560,0,0
34777,119.07394,11.27945,78530,0,0
34778,119.07394,11.28195,78561,0,0
34779,119.07394,11.28445,78532,0,0
34780,119.07394,11.28695,78562,0,0
34781,119.07394,11.28945,78533,0,0
34782,119.07394,11.29195,78564,0,0
34783,119.07394,11.29445,78535,0,0
34784,119.07394,11.29695,78535,0,0
34785,119.07394,11.29945,78566,0,0
34786,119.07394,11.30195,78537,0,0
34787,119.07394,11.30445,78567,0,0
34788,119.07394,11.30695,78538,0,0
34789,119.07394,11.30945,78569,0,0
34790,119.07394,11.31195,78539,0,0
34791,119.07394,11.31445,78540,0,0
34792,119.07394,11.31695,78571,0,0
34793,119.07394,11.31945,78542,0,0
34794,119.07394,11.32195,78572,0,0
34795,119.07394,11.32445,78543,0,0
34796,119.07394,11.32695,78574,0,0
34797,119.07394,11.32945,78544,0,0
34798,119.07394,11.33195,78545,0,0
34799,119.07394,11.33445,78576,0,0
34800,119.07394,11.33695,78546,0,0
34801,119.07394,11.33945,78577,0,0
34802,119.07394,11.34195,78548,0,0
34803,119.07394,11.34445,78578,0,0
34804,119.07394,11.34695,78549,0,0
34805,119.07394,11.34945,78580,0,0
34806,119.07394,11.35195,78551,0,0
34807,119.07394,11.35445,78551,0,0
34808,119.07394,11.35695,78582,0,0
34809,119.07394,11.35945,78553,0,0
34810,119.07394,11.36195,78583,0,0
34811,119.07394,11.36445,78554,0,0
34812,119.07394,11.36695,78585,0,0
34813,119.07394,11.36945,78555,0,0
34814,119.07394,11.37195,78586,0,0
34815,119.07394,11.37445,78557,0,0
34816,119.07394,11.37695,78558,0,0
34817,119.07394,11.37945,78588,0,0
34818,119.07394,11.38195,78559,0,0
34819,119.07394,11.38445,78590,0,0
34820,119.07394,11.38695,78560,0,0
34821,119.07394,11.38945,78591,0,0
34822,119.07394,11.39195,78562,0,0
34823,119.07394,11.39445,78562,0,0
34824,119.07394,11.39695,78593,0,0
34825,119.07394,11.39945,78564,0,0
34826,119.07394,11.40195,78595,0,0
34827,119.07394,11.40445,78565,0,0
34828,119.07394,11.40695,78596,0,0
34829,119.07394,11.40945,78567,0,0
34830,119.07394,11.41195,78567,0,0
34831,119.07394,11.41445,78598,0,0
34832,119.07394,11.41695,78569,0,0
34833,119.07394,11.41945,78599,0,0
34834,119.07394,11.42195,78570,0,0
34835,119.07394,11.42445,78601,0,0
34836,119.07394,11.42695,78572,0,0
34837,119.07394,11.42945,78602,0,0
34838,119.07394,11.43195,78573,0,0
34839,119.07394,11.43445,78574,0,0
34840,119.07394,11.43695,78604,0,0
